UnitID	additionalID	Property1	PropertyValue1	FullScientificName	Property2	PropertyValue2	Property3	PropertyValue3	Property4	PropertyValue4	Country	exact_site	CollectionStartDay	CollectedBy	Property5	PropertyValue5	Property6	PropertyValue6																																											
RMCA_105	4464	Taxonomic Family (APD)	MALVAC	Sida rhombifolia L.	Vernacular name	Arrowleaf sida	Vernacular name (English)	"Queensland hemp, sida hemp, Cuba jute, arrow-leaf sida, broom jute sida"	Vernacular name (French)	"Chanvre du Queensland, herbe dure"	Unknown	Unknown	1951	J.M. Teteu Don Cotares	Region (plant)		Ecology (plant)																																												
RMCA_095	591	Taxonomic Family (APD)	MALVAC	Urena lobata L.	Vernacular name	Caesarweed	Vernacular name (English)	"Congo jute, aramina, bur-mallow, cadillo, caesar weed, hibiscus bur, urena"	Vernacular name (French)	"Jute du Congo, jute de Madagascar, uréna, goune de Madagascar, herbe à paniers, grand cousin "	R.D. Congo	Eala	1908	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_003	3504	Taxonomic Family (APD)	MALVAC	Urena lobata L.	Vernacular name	Caesarweed	Vernacular name (English)	"Congo jute, aramina, bur-mallow, cadillo, caesar weed, hibiscus bur, urena"	Vernacular name (French)	"Jute du Congo, jute de Madagascar, uréna, goune de Madagascar, herbe à paniers, grand cousin "	Unknown	Unknown	1949	Soc cotol Anauoi ???	Region (plant)		Ecology (plant)																																												
RMCA_027	4446	Taxonomic Family (APD)	MALVAC	Urena lobata L.	Vernacular name	Caesarweed	Vernacular name (English)	"Congo jute, aramina, bur-mallow, cadillo, caesar weed, hibiscus bur, urena"	Vernacular name (French)	"Jute du Congo, jute de Madagascar, uréna, goune de Madagascar, herbe à paniers, grand cousin "	Unknown	St. Giurbi/Auatude	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_057	577	Taxonomic Family (APD)	MARANTAC	Sarcophrynium schweinfurthianum (Kuntze) Milne-Redh.	Vernacular name	Yoruba soft cane	Vernacular name (English)	Yoruba soft cane	Vernacular name (French)		Unknown	Limbutu	1910	Dept. Argiculture	Region (plant)		Ecology (plant)																																												
RMCA_035	525	Taxonomic Family (APD)	MUSAC	Musa acuminata Colla	Vernacular name	Dwarf Banana	Vernacular name (English)	"seedless Banana"" (Misapplied), Banana, Banana, Banana Flower (Ingredient), Banana Inflorescence (Ingredient), Blood Banana, bungulan, Cavendish banana, Chinese banana, Diploid Wild Banana, Dwarf Banana, Dwarf Cavendish Dwarf Banana., Dwarf Giant Banana., Edible Banana, Ice Cream Banana., Lacatan Banana., Musa, Pisang, Plantain., Small-Fruited Wild Banana., Super Dwarf Cavendish Banana, Sweet´s Banana, Thai Wild Banana., Variegated Banana, Variegated Dwarf Banana., Wild Banana, Wild Banana Type A., Zebrina Blood Banana"	Vernacular name (French)	"Banane De Chine, Banane Lacatan Des Philippines., Banane Sauvage, bananier, Bananier, Bananier De Chine, bananier nain., Bananier Nain"	R.D. Congo	Eala	1909	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_092	521	Taxonomic Family (APD)	MUSAC	Musa acuminata Colla	Vernacular name	Dwarf Banana	Vernacular name (English)	"seedless Banana"" (Misapplied), Banana, Banana, Banana Flower (Ingredient), Banana Inflorescence (Ingredient), Blood Banana, bungulan, Cavendish banana, Chinese banana, Diploid Wild Banana, Dwarf Banana, Dwarf Cavendish Dwarf Banana., Dwarf Giant Banana., Edible Banana, Ice Cream Banana., Lacatan Banana., Musa, Pisang, Plantain., Small-Fruited Wild Banana., Super Dwarf Cavendish Banana, Sweet´s Banana, Thai Wild Banana., Variegated Banana, Variegated Dwarf Banana., Wild Banana, Wild Banana Type A., Zebrina Blood Banana"	Vernacular name (French)	"Banane De Chine, Banane Lacatan Des Philippines., Banane Sauvage, bananier, Bananier, Bananier De Chine, bananier nain., Bananier Nain"	R.D. Congo	Eala	1909	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_046	920	Taxonomic Family (APD)	MUSAC	Musa rubra Wall. ex Kurz	Vernacular name	Red Dwarf Banana	Vernacular name (English)		Vernacular name (French)		R.D. Congo	Eala	1905	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_047	1281	Taxonomic Family (APD)	MUSAC	Musa sp.	Vernacular name		Vernacular name (English)	Banana	Vernacular name (French)	Bananier	R.D. Congo	Lusambo	1912	Dobbelaere	Region (plant)		Ecology (plant)																																												
RMCA_053	1281	Taxonomic Family (APD)	MUSAC	Musa sp.	Vernacular name		Vernacular name (English)	Banana	Vernacular name (French)	Bananier	R.D. Congo	Lusambo	1912	Dobbelaere	Region (plant)		Ecology (plant)																																												
RMCA_036	4455	Taxonomic Family (APD)	MUSAC	Musa textilis Née	Vernacular name	Abaca	Vernacular name (English)	"Abaca, abacá, Manila hemp"	Vernacular name (French)	"Abaca, chanvre de Manille, bananier à fibres"	Unknown	St. Giurbi/Auatude	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_021	522	Taxonomic Family (APD)	MUSAC	Musa x paradisiaca L.	Vernacular name	Plantain	Vernacular name (English)	Banana	Vernacular name (French)	Bananier	R.D. Congo	Eala	1909	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_005	529	Taxonomic Family (APD)	MUSAC	Musa x paradisiaca L.	Vernacular name	Plantain	Vernacular name (English)	Banana	Vernacular name (French)	Bananier	R.D. Congo	Kalamu	1907	Dept. Finances	Region (plant)		Ecology (plant)																																												
RMCA_118	1153	Taxonomic Family (APD)	OLACAC	Ongokea gore (Hua) Pierre 	Vernacular name	Boleko Nut	Vernacular name (English)	"Angueuk, boleko, isano "	Vernacular name (French)	"Angueuk, boléko, ongokéa"	R.D. Congo	Kasai	1920	Achten	Region (plant)		Ecology (plant)																																												
RMCA_009	2322	Taxonomic Family (APD)	STERCULIAC	Melochia melissifolia Benth.	Vernacular name		Vernacular name (English)		Vernacular name (French)		R.D. Congo	Eala	1931	Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_045	2322	Taxonomic Family (APD)	STERCULIAC	Melochia melissifolia Benth.	Vernacular name		Vernacular name (English)		Vernacular name (French)		R.D. Congo	Eala	1931	Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_103	830	Taxonomic Family (APD)	TILIAC	Clappertonia ficifolia (Willd.) Decne.	Vernacular name	Bolo-bolo	Vernacular name (English)	Bolo Bolo	Vernacular name (French)		R.D. Congo	Eala	1913	Dept. Argiculture	Region (plant)		Ecology (plant)																																												
RMCA_113	1777	Taxonomic Family (APD)	TILIAC	Clappertonia ficifolia (Willd.) Decne.	Vernacular name	Bolo-bolo	Vernacular name (English)	Bolo Bolo	Vernacular name (French)		R.D. Congo	Eala	1927	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_081	578	Taxonomic Family (APD)	TILIAC	Clappertonia polyandra (K. Schum. ex Sprague) Bech.	Vernacular name	Clappertonia	Vernacular name (English)	Clappertonia	Vernacular name (French)		R.D. Congo	Eala	1905	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_066	1778	Taxonomic Family (APD)	TILIAC	Clappertonia polyandra (K. Schum. ex Sprague) Bech.	Vernacular name	Clappertonia	Vernacular name (English)	Clappertonia	Vernacular name (French)		R.D. Congo	Eala	1928	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_067	536	Taxonomic Family (APD)	TILIAC	Corchorus capsularis L.	Vernacular name	Jute	Vernacular name (English)	"Bangla White Jute (India), Calcutta hemp, cultivated jute., gunny, jute, Jute, Jute, jute., jute., white jute, white jute (India, Sastri)., white jute., White Jute"	Vernacular name (French)		R.D. Congo	Eala	1908	Dept. Finances	Region (plant)		Ecology (plant)																																												
RMCA_019	815	Taxonomic Family (APD)	TILIAC	²	Vernacular name	Jute	Vernacular name (English)	"Bangla White Jute (India), Calcutta hemp, cultivated jute., gunny, jute, Jute, Jute, jute., jute., white jute, white jute (India, Sastri)., white jute., White Jute"	Vernacular name (French)	"Chanvre De Calcutta, chanvre de Calcutta., Corète Capsulaire, Corète Textile, Corette (Réunion), Gooni (Réunion), Jute à Capsules Globuleuses, Jute à Fruit Capsulaire., jute. "	Unknown	Unknown	1913	Dept. De l'Agriculture	Region (plant)		Ecology (plant)																																												
RMCA_013	531	Taxonomic Family (APD)	TILIAC	Corchorus olitorius L.	Vernacular name	Jew's mallow	Vernacular name (English)	"Jew’s mallow, jute mallow, krinkrin, tossa jute, bush okra, West African sorrel"	Vernacular name (French)	"Corète potagère, jute potager, mauve des Juifs, craincrain, krinkrin"	R.D. Congo	Eala	1902	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_072	539	Taxonomic Family (APD)	TILIAC	Corchorus sp.	Vernacular name		Vernacular name (English)		Vernacular name (French)		R.D. Congo	Eala	1903	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_089	1279	Taxonomic Family (APD)	TILIAC	Triumfetta	Vernacular name		Vernacular name (English)		Vernacular name (French)		R.D. Congo	Lusambo	1912	Dobbelaere	Region (plant)		Ecology (plant)																																												
RMCA_115	1774	Taxonomic Family (APD)	TILIAC	Triumfetta cordifolia A. Rich.	Vernacular name	Burweed	Vernacular name (English)	"Burbush, burweed, Chinese bur, diamond burbark, paroquet bur"	Vernacular name (French)		R.D. Congo	Eala	1928	m.a. Corbisier Baland	Region (plant)		Ecology (plant)																																												
RMCA_112	4458	Taxonomic Family (APD)	TILIAC	Triumfetta cordifolia A. Rich.	Vernacular name	Burweed	Vernacular name (English)	"Burbush, burweed, Chinese bur, diamond burbark, paroquet bur"	Vernacular name (French)	"Herbe à paniers, hérisson blanc"	Unknown	Station de Gimba Matadi	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_022	4451	Taxonomic Family (APD)	TILIAC	Triumfetta rhomboidea Jacq.	Vernacular name	Diamond burbark	Vernacular name (English)	"Burbush, burweed, Chinese bur, diamond burbark, paroquet bur"	Vernacular name (French)		Unknown	St. Giurbi/Auatude	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_044	4451	Taxonomic Family (APD)	TILIAC	Triumfetta rhomboidea Jacq.	Vernacular name	Diamond burbark	Vernacular name (English)	"Burbush, burweed, Chinese bur, diamond burbark, paroquet bur"	Vernacular name (French)		Unknown	Station de Gimbi Mutadi	1951	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
RMCA_079	575	Taxonomic Family (APD)	TILIAC	Triumfetta semitriloba Jacq.	Vernacular name	Burweed	Vernacular name (English)	Burweed	Vernacular name (French)		R.D. Congo	Eala	1910	Ganshof	Region (plant)		Ecology (plant)																																												
RMCA_018	576	Taxonomic Family (APD)	TILIAC	Triumfetta semitriloba Jacq.	Vernacular name	Burweed	Vernacular name (English)	Burweed	Vernacular name (French)		R.D. Congo	Eala	1905	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_030	576	Taxonomic Family (APD)	TILIAC	Triumfetta semitriloba Jacq.	Vernacular name	Burweed	Vernacular name (English)	Burweed	Vernacular name (French)		R.D. Congo	Eala	1905	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_043	561	Taxonomic Family (APD)	URTICAC	Boehmeria nivea (L.) Gaudich.	Vernacular name	Ramie	Vernacular name (English)	"Ramie, rhea, China grass"	Vernacular name (French)	"Ramie, ramie de Chine"	Unknown	Mayumbe	1905	Dept. Finances	Region (plant)		Ecology (plant)																																												
RMCA_077	570	Taxonomic Family (APD)	URTICAC	Boehmeria nivea (L.) Gaudich.	Vernacular name	Ramie	Vernacular name (English)	"Ramie, rhea, China grass"	Vernacular name (French)	"Ramie, ramie de Chine"	R.D. Congo	Bas-congo	1905	Pynaert	Region (plant)		Ecology (plant)																																												
RMCA_101	827	Taxonomic Family (APD)	URTICAC	Boehmeria nivea (L.) Gaudich.	Vernacular name	Ramie	Vernacular name (English)	"Ramie, rhea, China grass"	Vernacular name (French)	"Ramie, ramie de Chine"	R.D. Congo	Eala	1912	Dept. Argiculture	Region (plant)		Ecology (plant)																																												
RMCA_076	1395	Taxonomic Family (APD)	URTICAC	Boehmeria nivea (L.) Gaudich.	Vernacular name	Ramie	Vernacular name (English)	"Ramie, rhea, China grass"	Vernacular name (French)	"Ramie, ramie de Chine"	R.D. Congo	Eala	1925	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_100	1557	Taxonomic Family (APD)	URTICAC	Boehmeria nivea (L.) Gaudich.	Vernacular name	Ramie	Vernacular name (English)	"Ramie, rhea, China grass"	Vernacular name (French)	"Ramie, ramie de Chine"	R.D. Congo	Eala	1926	Goossens	Region (plant)		Ecology (plant)																																												
RMCA_065	2660	Taxonomic Family (APD)	URTICAC	Boehmeria nivea (L.) Gaudich.	Vernacular name	Ramie	Vernacular name (English)	"Ramie, rhea, China grass"	Vernacular name (French)	"Ramie, ramie de Chine"	R.D. Congo	Eala	1936	I.N.E.A.C.	Region (plant)		Ecology (plant)																																												
